account_age_days,transaction_amount,hour,weekday,month,is_high_value,transaction_amount_log,channel_Atm,channel_Mobile,channel_Pos,channel_Web,kyc_verified_No,kyc_verified_Yes,is_fraud
746,20015,20,1,8,0,9.904287232706693,False,True,False,False,1,0,0
979,6807,15,5,8,0,8.82585367025321,False,False,False,True,0,1,0
133,17877,21,2,8,0,9.791326185647797,False,False,False,True,0,1,0
2108,6087,3,5,8,0,8.714074899541522,False,True,False,False,0,1,0
2312,92963,4,3,8,1,11.439967600419903,False,True,False,False,1,0,1
2497,7459,14,0,8,0,8.917310693197807,True,False,False,False,1,0,1
2765,267287,16,5,8,1,12.496082007741046,False,True,False,False,0,1,0
57,7170,22,1,8,0,8.877800393882575,False,True,False,False,0,1,1
2298,18885,5,2,8,0,9.846176185823014,False,False,False,True,0,1,0
1590,26288,5,6,8,0,10.17690587972396,False,True,False,False,0,1,0
1947,105929,16,1,8,1,11.570533777590542,True,False,False,False,0,1,1
2570,11122,11,0,8,0,9.316770315592029,False,False,True,False,0,1,0
92,9509,11,2,8,0,9.160099155539436,False,True,False,False,0,1,0
1874,3970,10,6,8,0,8.286773231131251,False,False,False,True,0,1,0
1887,6770,1,1,8,0,8.820404065485645,False,False,False,True,0,1,0
1666,2843,7,0,8,0,7.952966790923131,False,False,False,True,0,1,0
2099,7558,7,5,8,0,8.930494185292178,False,False,False,True,0,1,0
399,9892,3,3,8,0,9.199582715323222,False,True,False,False,0,1,0
1148,35380,4,5,8,0,10.473930231870588,False,True,False,False,0,1,0
134,269564,14,0,8,1,12.504564827634232,False,True,False,False,1,0,0
2166,261141,10,0,8,1,12.472819599659822,False,True,False,False,0,1,0
639,10291,13,0,8,0,9.239122173401634,False,False,False,True,0,1,0
1542,12765,20,0,8,0,9.454540665816003,False,True,False,False,0,1,0
2578,2443,11,1,8,0,7.8013913202914855,False,False,True,False,0,1,0
2518,15776,10,6,8,0,9.666308462257454,False,True,False,False,0,1,0
802,12726,7,1,8,0,9.451480999992047,False,False,False,True,0,1,0
2719,16336,8,2,8,0,9.701187753026508,False,True,False,False,0,1,0
2709,14069,14,6,8,0,9.551800150108434,False,True,False,False,1,0,0
2267,6065,16,6,8,0,8.710454688248527,True,False,False,False,0,1,0
10,9704,5,3,8,0,9.18039649560311,False,False,False,True,0,1,0
86,285487,3,0,8,1,12.56195527567121,False,True,False,False,0,1,1
1000,9641,15,5,8,0,9.173883834965567,False,False,True,False,0,1,0
2239,5785,11,6,8,0,8.66319648553608,True,False,False,False,1,0,1
135,3659,8,5,8,0,8.205218426395412,False,False,False,True,1,0,0
1880,131634,1,0,8,1,11.78778821995975,False,False,True,False,0,1,0
1144,3258,20,1,8,0,8.089175678837561,False,True,False,False,0,1,0
1606,4719,0,1,8,0,8.459564078579602,False,False,False,True,0,1,0
257,238863,7,3,8,1,12.383649631293371,False,False,False,True,1,0,1
2406,57175,17,6,8,1,10.953889508899815,False,False,False,True,0,1,0
2740,13856,0,5,8,0,9.536545799098715,True,False,False,False,0,1,0
1832,5295,23,2,8,0,8.574707097616844,False,True,False,False,0,1,0
